time_utc;border;da_net_nl_exports_mw;fin_net_nl_exports_mw;id_adjustment_mw
00:00:00;BE;2 384,7;2 249,7;-135,0
00:00:00;DE;3 263,0;3 107,2;-155,8
00:00:00;DK;271,7;482,4;210,7
00:00:00;GB;-521,0;-538,0;-17,0
00:00:00;NO;0,0;159,0;159,0
01:00:00;BE;2 445,6;2 447,6;1,9
01:00:00;DE;3 426,2;3 170,5;-255,8
01:00:00;DK;41,7;351,8;310,1
01:00:00;GB;-567,0;-485,0;82,0
01:00:00;NO;0,0;99,7;99,7
02:00:00;BE;2 417,7;2 559,6;141,9
02:00:00;DE;3 308,7;3 184,7;-124,0
02:00:00;DK;0,0;226,6;226,6
02:00:00;GB;-590,0;-548,0;42,0
02:00:00;NO;0,0;64,7;64,7
03:00:00;BE;2 313,2;2 421,4;108,2
03:00:00;DE;3 340,4;3 216,2;-124,2
03:00:00;DK;0,0;157,6;157,6
03:00:00;GB;-557,0;-575,0;-18,0
03:00:00;NO;0,0;36,5;36,5
04:00:00;BE;2 332,5;2 400,0;67,5
04:00:00;DE;3 658,8;3 492,4;-166,5
04:00:00;DK;0,0;-67,8;-67,8
04:00:00;GB;-704,0;-640,0;64,0
04:00:00;NO;0,0;182,6;182,6
05:00:00;BE;2 158,9;1 441,3;-717,6
05:00:00;DE;3 717,4;3 475,2;-242,2
05:00:00;DK;175,0;341,3;166,3
05:00:00;GB;-976,0;-573,0;403,0
05:00:00;NO;0,0;387,6;387,6
06:00:00;BE;1 457,0;1 463,5;6,5
06:00:00;DE;3 044,2;2 541,2;-503,0
06:00:00;DK;175,0;-14,2;-189,2
06:00:00;GB;-1 058,0;-491,0;567,0
06:00:00;NO;0,0;13,7;13,7
07:00:00;BE;1 054,4;861,7;-192,7
07:00:00;DE;1 741,0;536,8;-1 204,2
07:00:00;DK;502,9;217,4;-285,5
07:00:00;GB;-1 000,0;-84,0;916,0
07:00:00;NO;0,0;15,1;15,1
08:00:00;BE;1 048,5;800,0;-248,6
08:00:00;DE;1 503,7;436,2;-1 067,5
08:00:00;DK;700,0;-405,5;-1 105,5
08:00:00;GB;-788,0;-26,0;762,0
08:00:00;NO;0,0;1,1;1,1
09:00:00;BE;1 325,7;1 082,8;-242,9
09:00:00;DE;1 697,4;310,1;-1 387,2
09:00:00;DK;700,0;-199,0;-899,0
09:00:00;GB;-422,0;-67,0;355,0
09:00:00;NO;0,0;17,1;17,1
10:00:00;BE;1 802,5;1 134,0;-668,5
10:00:00;DE;2 599,7;868,0;-1 731,8
10:00:00;DK;700,0;-700,0;-1 400,0
10:00:00;GB;-434,0;157,0;591,0
10:00:00;NO;0,0;0,0;0,0
11:00:00;BE;1 897,4;1 657,8;-239,5
11:00:00;DE;3 401,5;1 193,2;-2 208,2
11:00:00;DK;700,0;-637,7;-1 337,7
11:00:00;GB;-566,0;-14,0;552,0
11:00:00;NO;0,0;0,0;0,0
12:00:00;BE;1 726,0;1 676,5;-49,5
12:00:00;DE;3 695,2;1 589,2;-2 106,0
12:00:00;DK;700,0;-700,0;-1 400,0
12:00:00;GB;-687,0;10,0;697,0
12:00:00;NO;0,0;0,0;0,0
13:00:00;BE;1 444,3;1 454,0;9,7
13:00:00;DE;3 276,4;1 744,2;-1 532,2
13:00:00;DK;700,0;-700,0;-1 400,0
13:00:00;GB;-931,0;-548,0;383,0
13:00:00;NO;0,0;0,0;0,0
