publication_time_utc,delivery_start_time_utc,product,hours_to_delivery,da_price_eur_mwh,neso_britned_buy_mw,da_britned_import_mw,neso_buy_pct_da_import,inbound_atc_mw,pre_15min_price_eur_mwh,post_15min_price_eur_mwh,immediate_change_eur_mwh,max_after_price_eur_mwh,post15_to_max_move_eur_mwh,trades_after_publication,volume_after_publication_mwh
03:18:41,05:00:00,05:00–06:00,1.688611111111111,109.02250000000001,399,976.0,40.881147540983605,6680,111.1,111.29,0.19000000000001194,112.39500000000001,1.105000000000004,978,1298.5
03:18:41,06:00:00,06:00–07:00,2.6886111111111113,129.3125,561,1058.0,53.024574669187146,4993,136.095,137.85,1.7549999999999955,164.645,26.795000000000016,1473,2170.2
03:18:41,07:00:00,07:00–08:00,3.6886111111111113,151.175,900,1000.0,90.0,3748,166.74,165.46,-1.2800000000000011,172.365,6.905000000000001,3049,4824.700000000001
03:18:41,08:00:00,08:00–09:00,4.688611111111111,152.15,750,788.0,95.17766497461929,404,159.63,163.15,3.5200000000000102,171.78,8.629999999999995,3629,6144.4
03:18:41,09:00:00,09:00–10:00,5.688611111111111,144.3,350,422.0,82.93838862559242,3614,152.505,154.08,1.575000000000017,383.5,229.42,4180,6700.299999999999
03:18:41,10:00:00,10:00–11:00,6.688611111111111,135.195,588,434.0,135.48387096774192,0,146.155,146.5,0.34499999999999886,399.97,253.47000000000003,3144,5841.5
03:18:41,11:00:00,11:00–12:00,7.688611111111111,132.54500000000002,547,566.0,96.64310954063605,0,142.55,141.985,-0.5649999999999977,549.0,407.015,3188,6294.9
09:46:42,12:00:00,12:00–13:00,2.2216666666666667,131.66,691,687.0,100.58224163027657,0,188.99,224.18,35.19,977.515,753.335,1118,2286.0
09:46:42,13:00:00,13:00–14:00,3.2216666666666667,136.60500000000002,389,931.0,41.78302900107411,0,185.0,211.8,26.80000000000001,1133.315,921.5150000000001,1818,3628.3
09:46:42,14:00:00,14:00–15:00,4.221666666666667,147.01749999999998,462,938.0,49.25373134328358,28,194.07999999999998,202.9,8.820000000000022,598.06,395.15999999999997,2487,4698.4
09:46:42,15:00:00,15:00–16:00,5.221666666666667,176.0,10,866.0,1.1547344110854503,2622,228.0,239.53,11.530000000000001,517.1,277.57000000000005,3518,6814.9
12:04:00,16:00:00,16:00–17:00,3.933333333333333,221.09750000000003,918,862.0,106.49651972157773,1762,435.0,548.24,113.24000000000001,648.56,100.31999999999994,2015,4195.200000000001
12:04:00,17:00:00,17:00–18:00,4.933333333333334,213.585,1045,846.0,123.5224586288416,3129,407.55,515.99,108.44,781.97,265.98,2324,4963.6
12:04:00,18:00:00,18:00–19:00,5.933333333333334,182.8,51,117.0,43.58974358974359,6199,300.17,320.0,19.829999999999984,499.0,179.0,3990,7455.5
17:28:08,20:00:00,20:00–21:00,2.531111111111111,129.1025,172,85.0,202.35294117647058,5799,183.8,189.175,5.375,192.655,3.4799999999999898,1642,2810.1
17:28:08,21:00:00,21:00–22:00,3.531111111111111,123.85000000000001,431,255.0,169.01960784313727,7463,168.3,169.77499999999998,1.474999999999966,199.56,29.785000000000025,2226,3641.0
