product_utc,decision_time_utc,entry_window_utc,entry_eur_mwh,entry_window_low_eur_mwh,entry_window_high_eur_mwh,entry_window_volume_mwh,entry_window_unique_trades,stop_eur_mwh,risk_budget_eur,position_mwh,pre_stress_median_eur_mwh,target_eur_mwh,time_exit_utc,selected_exit_trigger,first_trigger_time_utc,first_trigger_price_eur_mwh,exit_time_utc,simulated_exit_eur_mwh,recorded_fill_volume_proxy_mwh,profit_eur,risk_multiple
20:00-21:00,17:40:00,17:40-17:45,185.2,177.0,190.3,11.699999999999998,23,200.0,50.0,3.378,128.995,130,19:50:00,pre-stress target,19:15:49.226,116.11,19:20:41.259,130.0,4.1,186.46559999999997,3.7293119999999993
21:00-22:00,17:40:00,17:40-17:45,163.88,158.0,170.0,45.900000000000006,37,175.0,50.0,4.496,118.28,120,20:50:00,stop,20:18:46.537,194.55,20:18:46.537,194.55,0.1,-137.8923200000001,-2.757846400000002
